Titre,Lien,Date,Contenu
Tunisie : Nouvelles mesures pour garantir le succès de la récolte céréalière 2024,https://realites.com.tn/fr/tunisie-nouvelles-mesures-pour-garantir-le-succes-de-la-recolte-cerealiere-2024/,11-06-2024,"Le Chef du gouvernement, Ahmed Hachani, a présidé, lundi 10 juin 2024 au Palais du gouvernement à la Kasbah, un conseil ministériel restreint consacré à la réussite de la récolte…"
Tunisie : Un conseil ministériel pour promouvoir l’investissement privé,https://realites.com.tn/fr/tunisie-un-conseil-ministeriel-pour-promouvoir-linvestissement-prive/,11-06-2024,"Lundi 10 juin 2024, au Palais du Gouvernement à la Kasbah, Le Chef du Gouvernement, Ahmed Hachani a présidé un conseil ministériel dédié à la promotion de l’investissement privé. À…"
Production de volaille: Une évolution encourageante au premier semestre 2024,https://realites.com.tn/fr/production-de-volaille-une-evolution-encourageante-au-premier-semestre-2024/,11-06-2024,L’Observatoire national de l’agriculture (ONAGRI) a annoncé les évolutions liées au secteur avicole tunisien au cours des six premiers mois de l’année. Les chiffres du premier semestre 2024 révèlent une…
Tunisie : Feuille de route économique dévoilée aux haut-dirigeants de la BAD,https://realites.com.tn/fr/tunisie-feuille-de-route-economique-devoilee-aux-haut-dirigeants-de-la-bad/,10-06-2024,"Face à une délégation de haut niveau de la Banque africaine de développement (BAD), la ministre tunisienne de l’Économie et de la Planification, Feryel Ouerghi, a levé le voile sur…"
"Formation, emploi et intégration : La Tunisie et l’Italie renforcent leur collaboration pour l’avenir des jeunes",https://realites.com.tn/fr/formation-emploi-et-integration-la-tunisie-et-litalie-renforcent-leur-collaboration-pour-lavenir-des-jeunes/,10-06-2024,"Ce vendredi 10 juin, un accord de partenariat a été signé entre l’ONG italienne AVSI, l’Agence Nationale pour l’Emploi et l’Autonomie – Emploi (Aneti) et l’Agence tunisienne de formation professionnelle…"
Entreprises,https://realites.com.tn/fr/category/entreprises/,10-06-2024,"Sous le patronage du Président de la République Kaïs Saïed, « Tunisia Africa Business Council » (TABC) organise la 7ème édition du forum international les 11 et 12 juin 2024…"
Monde,https://realites.com.tn/fr/category/monde/,10-06-2024,"Décidément dans le monde financier, on ne badine pas avec l’argent ! Dès l’ouverture de la bourse ce matin à Londres, les cours des actions ont chuté. C’est à cause…"
"Le Canada et l’Allemagne, destinations privilégiées des cadres Tunisiens",https://realites.com.tn/fr/le-canada-et-lallemagne-destinations-privilegiees-des-cadres-tunisiens/,10-06-2024,"Depuis le début de l’année jusqu’au mois d’avril 2024, 966 compétences tunisiennes ont été recrutées à l’étranger dans le cadre de la coopération technique, selon les données de l’Agence tunisienne…"
La Rédaction,https://realites.com.tn/fr/author/realites5201/,09-06-2024,"La Confédération des entreprises citoyennes de Tunisie (CONECT) vient d’annoncer la constitution, samedi 8 juin, de son bureau régional à Sidi Bouzid. Ce nouveau bureau s’ajoute aux bureaux de la…"
Entreprises,https://realites.com.tn/fr/category/entreprises/,08-06-2024,"Le Gouverneur de la Banque centrale de Tunisie, M. Fethi Zouhair Nouri, a pris part au Forum économique international de Saint-Pétersbourg qui s’est tenu hier, vendredi 07 juin et qui…"
Environnement,https://realites.com.tn/fr/category/environnement/,08-06-2024,"Le changement climatique a entraîné une hausse de 0,9% de l’inflation générale en Tunisie, portant le taux actuel à environ 7,5%, selon une note publiée par l’Institut arabe des chefs…"
Bank ABC Tunisie : Des performances et des fondamentaux solides,https://realites.com.tn/fr/bank-abc-tunisie-des-performances-et-des-fondamentaux-solides/,08-06-2024,"Reconnu pour ses compétences professionnelles et ses grandes aptitudes managériales à travers un parcours professionnel riche et diversifié en France comme aux USA, Saber Ayadi, Directeur Général et Country Manager du…"
Tunisie : Les chèques sans provision de nouveau à l’ordre du jour,https://realites.com.tn/fr/tunisie-les-cheques-sans-provision-de-nouveau-a-lordre-du-jour/,08-06-2024,"Le Président de la République, Kaïs Saïed, a présidé une réunion, vendredi 7 juin 2024, consacrée à l’examen et à la révision de certaines dispositions du Code de commerce relatives…"
Commerce extérieur: Des signes de reprise au premier trimestre 2024,https://realites.com.tn/fr/commerce-exterieur-des-signes-de-reprise-au-premier-trimestre-2024/,07-06-2024,"Le commerce extérieur tunisien au premier trimestre 2024 présente un visage contrasté, marqué par des évolutions en dents de scie dans un contexte international complexe, selon un dernier rapport de…"
Le changement climatique menace le pouvoir d’achat des Tunisiens,https://realites.com.tn/fr/le-changement-climatique-menace-le-pouvoir-dachat-des-tunisiens/,07-06-2024,"Le changement climatique n’est pas seulement une menace pour l’environnement, il a également un impact direct sur l’économie tunisienne, notamment sur l’inflation. Selon une note publiée par l’Institut arabe des…"
Environnement,https://realites.com.tn/fr/category/environnement/,07-06-2024,"Selon les estimations de l’Institut arabe des chefs d’entreprise (IACE), les taux des hausses des températures enregistrés à cause du changement climatique (lequel est dû au réchauffement climatique) a, à…"
Politique,https://realites.com.tn/fr/category/politique/,07-06-2024,"Le Président de la République, Kaïs Saïed, a rencontré, jeudi 6 juin, Kamel Madouri, Ministre des Affaires Sociales, au Palais de Carthage. Cette rencontre a permis d’aborder plusieurs sujets, notamment…"
Tourisme et devises : Des signes encourageants,https://realites.com.tn/fr/tourisme-et-devises-des-signes-encourageants/,06-06-2024,"Le secteur touristique tunisien continue de donner des signes de reprise. Sur les cinq premiers mois de l’année, les recettes touristiques ont atteint 2,1 milliards de dinars (environ 600 millions…"
Agriculture: Investissements en baisse et perspectives incertaines,https://realites.com.tn/fr/agriculture-investissements-en-baisse-et-perspectives-incertaines/,06-06-2024,"Le secteur agricole national traverse une période difficile, marquée par une baisse des investissements et des perspectives incertaines. Selon le rapport de situation agricole publié par l’Agence de promotion des…"
News,https://realites.com.tn/fr/category/news/,06-06-2024,L’INS a publié les chiffres concernant les taux d’inflation enregistrés durant le mois de mai 2024. Le premier constat à en tirer est que le taux d’inflation demeure inchangé depuis…
FCI 2024: La Tunisie cherche à attirer davantage d’investisseurs français,https://realites.com.tn/fr/fci-2024-la-tunisie-cherche-a-attirer-davantage-dinvestisseurs-francais/,06-06-2024,"La ministre de l’Industrie, des Mines et de l’Energie, Fatma Thabet Chiboub, a présidé ce jeudi 6 juin 2024 les travaux de la troisième édition du Forum du codéveloppement industriel…"
Entreprises,https://realites.com.tn/fr/category/entreprises/,06-06-2024,"« Intelligence Artificielle et Gouvernance : Interactions, enjeux et perspectives » tel était l’enseigne choisi pour le rendez-vous annuel de l’Institut Tunisien des Administrateurs (ITA) qui s’est tenu aujourd’hui, 06…"
Le Gouverneur de la BCT s’exprime à Bruxelles,https://realites.com.tn/fr/le-gouverneur-de-la-bct-sexprime-a-bruxelles/,05-06-2024,"Malgré des chocs externes et internes, la Tunisie maintient le cap sur la relance économique. C’est le message fort délivré par le gouverneur de la Banque centrale de Tunisie (BCT),…"
Diversification économique : Les PME s’ouvrent au réseau européen d’affaires,https://realites.com.tn/fr/diversification-economique-les-pme-souvrent-au-reseau-europeen-daffaires/,05-06-2024,"La ministre de l’Industrie, des Mines et de l’Energie, Fatma Thabet, a présidé aujourd’hui l’inauguration du « Enterprise Europe Network Tunisie », un événement majeur qui marque l’arrivée de ce réseau d’affaires…"
"Depuis Bruxelles, Fethi Zouhair Nouri annonce des réformes significatives pour stimuler l’économie",https://realites.com.tn/fr/depuis-bruxelles-fethi-zouhair-nouri-annonce-des-reformes-significatives-pour-stimuler-leconomie/,05-06-2024,"Depuis Bruxelles, Fethi Zouhair Nouri, Gouverneur de la Banque Centrale de Tunisie, a annoncé que la Tunisie, bien que confrontée à plusieurs défis, a réussi à mettre en œuvre des…"
Production et exportation du thon rouge tunisien : chiffres et quotas,https://realites.com.tn/fr/production-et-exportation-du-thon-rouge-tunisien-chiffres-et-quotas/,05-06-2024,"Le quota annuel de la Tunisie en thon rouge est estimé à 3000 tonnes, c’est ce qu’a récemment annoncé Yassine Iskandarani, chargé de mission au ministère de l’Agriculture, des Ressources…"
Bourses d’études et places d’élite : Le ministère tunisien récompensera les bacheliers brillants !,https://realites.com.tn/fr/bourses-detudes-et-places-delite-le-ministere-tunisien-recompensera-les-bacheliers-brillants/,05-06-2024,"Le ministère de l’Enseignement supérieur et de la Recherche scientifique ouvre les portes de l’excellence et de l’international aux bacheliers tunisiens les plus méritants. En effet, des bourses d’études prestigieuses…"
Entreprises,https://realites.com.tn/fr/category/entreprises/,05-06-2024,"En partenariat avec la Chambre de Commerce Tuniso-Coréenne et le bureau de KOTRA en Alger, l’Ambassade de la République de Corée en Tunisie, tiendra le 13 juin prochain à Tunis,…"
"Récolte Céréalière 2023/2024 : Prévisions en baisse, mais meilleure que l’année précédente",https://realites.com.tn/fr/recolte-cerealiere-2023-2024-previsions-en-baisse-mais-meilleure-que-lannee-precedente/,05-06-2024,"Dans des propos rapportés par la TAP,  Mohamed Ali Ben Romdhane responsable de la direction générale de la production agricole, a annoncé que la récolte céréalière pour la saison 2023/2024…"
Pétrole : Les prix plongent sous la menace d’une offre excédentaire,https://realites.com.tn/fr/petrole-les-prix-plongent-sous-la-menace-dune-offre-excedentaire/,04-06-2024,"Le marché pétrolier a connu un brusque revirement mardi, les prix s’affaissant lourdement en raison de la réunion de l’Organisation des Pays Exportateurs de Pétrole (OPEP) et ses alliés du…"
Tunisie – Réforme des chèques sans provision : Vers un régime équilibré et juste,https://realites.com.tn/fr/tunisie-reforme-des-cheques-sans-provision-vers-un-regime-equilibre-et-juste/,04-06-2024,"Le Président de la République, Kaïs Saïed, a rencontré, lundi 3 juin 2024, la ministre de la Justice, Leila Jaffel, au Palais de Carthage pour discuter du projet de révision…"
"Avec près de 5 mille entreprises, combien l’industrie a-t-elle créé d’emplois ?",https://realites.com.tn/fr/avec-pres-de-5-mille-entreprises-combien-lindustrie-a-t-elle-cree-demplois/,03-06-2024,"4.702 industries actives, 534 mille emplois et 90% des exportations : l’industrie tunisienne, bien que confrontée à des défis, affiche un potentiel indéniable. C’est le message fort délivré par la…"
Entreprises,https://realites.com.tn/fr/category/entreprises/,03-06-2024,"Dans une conjoncture mondiale qui a souffert d’une « succession de crises, notamment celles liées aux guerres et à la pandémie, il serait profitable de miser sur le secteur industriel…"
La stabilisation du Yen Japonais est essentielle pour les marchés financiers mondiaux,https://realites.com.tn/fr/la-stabilisation-du-yen-japonais-est-essentielle-pour-les-marches-financiers-mondiaux/,02-06-2024,"Bien que le Japon ait été dépassé par la Chine il y a quelques années en tant que dynamo économique asiatique et deuxième économie mondiale, son importance reste cruciale pour…"
La Tunisie renforce sa collaboration avec la Banque mondiale,https://realites.com.tn/fr/la-tunisie-renforce-sa-collaboration-avec-la-banque-mondiale/,01-06-2024,"La ministre de l’Économie et de la Planification, Feryel Ouerghi Sebai, a rencontré, vendredi 31 mai, Jesko Hentschel, directeur régional pour le Maghreb et Malte à la Banque mondiale, ainsi…"
Non classé,https://realites.com.tn/fr/category/non-classe/,01-06-2024,"À deux semaines seulement de l’Aïd el Idha, les préparatifs pour cette fête sacrée ont été lancés. Le correspondant de Réalités Online s’est déplacé ce samedi 1er juin 2024 au…"
Un Tunisien à la tête de Fiat Algérie,https://realites.com.tn/fr/un-tunisien-a-la-tete-de-fiat-algerie/,31-05-2024,"Le groupe Stellantis a annoncé la nomination du Tunisien Raoui Baji au poste de président-directeur général de la filiale algérienne, succédant ainsi à Hakim Bouthera. Ce changement marque une nouvelle…"
TIF 2024 : Un rendez-vous incontournable pour les investisseurs européens en Tunisie,https://realites.com.tn/fr/tif-2024-un-rendez-vous-incontournable-pour-les-investisseurs-europeens-en-tunisie/,31-05-2024,"La 21e édition du Forum tunisien de l’investissement (TIF), qui se tiendra à Tunis les 12 et 13 juin prochains, s’annonce comme un événement majeur pour attirer les investisseurs européens…"
L’exode des cerveaux ne date pas d’aujourd’hui,https://realites.com.tn/fr/lexode-des-cerveaux-ne-date-pas-daujourdhui/,31-05-2024,Par Aïssa Baccouche*   Les pays en voie de développement prennent aujourd’hui de plus en plus conscience du tort que leur cause le drainage des cerveaux effectué par – ou…
News,https://realites.com.tn/fr/category/news/,31-05-2024,"Pour la toute première fois, la Tunisie s’est affirmée en tant que principal investisseur africain en France en 2023. Selon Michel Bauza, directeur de Business France Afrique de Nord –…"
"Tunisie : Une croissance modérée attendue en 2024 et 2025, selon la BAD",https://realites.com.tn/fr/tunisie-une-croissance-moderee-attendue-en-2024-et-2025-selon-la-bad/,30-05-2024,"L’économie tunisienne devrait connaître une croissance modérée de 2,1% en 2024, suivie d’une légère accélération à 2,9% en 2025, d’après le rapport « Perspectives économiques en Afrique 2024 » publié aujourd’hui à…"
CEPEX : Réussite du premier Demo Day du programme Start’n’Trade !,https://realites.com.tn/fr/cepex-reussite-du-premier-demo-day-du-programme-startntrade/,30-05-2024,"Le Centre de Promotion des Exportations (CEPEX) a accueilli aujourd’hui avec succès le premier Demo Day du programme d’innovation Start’n’Trade, mettant en lumière les partenariats fructueux entre les entreprises exportatrices…"
Fintech: Visa propulse 22 startups africaines dont une tunisienne,https://realites.com.tn/fr/fintech-visa-propulse-22-startups-africaines-dont-une-tunisienne/,30-05-2024,"Visa, leader mondial des paiements numériques, a dévoilé aujourd’hui la liste des 22 startups présélectionnées issues de tout le continent africain pour participer à la deuxième cohorte de son programme…"
News,https://realites.com.tn/fr/category/news/,30-05-2024,La Banque Centrale de Tunisie ( BCT) a appelé les citoyens Tunisiens à ne pas mordre à l’hameçon et s’engager dans les offres promotionnelles qui pullulent sur les réseaux sociaux…
Tunisie : L’approvisionnement en huile végétale subventionnée ne répond qu’à 16% de la demande,https://realites.com.tn/fr/tunisie-lapprovisionnement-en-huile-vegetale-subventionnee-ne-repond-qua-16-de-la-demande/,30-05-2024,"Lors de son intervention sur Mosaïque FM ce jeudi 30 mai 2024, Slaheddine Abdellatif, vice-président de la Chambre syndicale nationale des conditionneurs d’huiles végétales, a souligné la rareté de l’huile…"
Tunisie : Cap sur l’OMC pour une présentation des politiques économiques et commerciales,https://realites.com.tn/fr/tunisie-cap-sur-lomc-pour-une-presentation-des-politiques-economiques-et-commerciales/,29-05-2024,"La Tunisie s’apprête à franchir une étape importante dans son intégration économique internationale. En effet, le pays se prépare à présenter ses politiques économiques et commerciales à l’Organisation mondiale du…"
Algérie : 60% du secteur industriel public à l’arrêt,https://realites.com.tn/fr/algerie-60-du-secteur-industriel-public-a-larret/,28-05-2024,"Le secteur industriel public algérien est à la croisée des chemins. Face à un taux d’arrêt de 60%, une gestion défaillante et une concurrence accrue des importations, le ministre algérien…"
Tunisie – Réforme des chèques sans provision : Vers un équilibre entre protection et responsabilité,https://realites.com.tn/fr/tunisie-reforme-des-cheques-sans-provision-vers-un-equilibre-entre-protection-et-responsabilite/,28-05-2024,"Le Président de la République Kaïs Saïed, a présidé lundi 27 mai 2024, au Palais de Carthage, une session de travail consacrée à la finalisation des amendements relatifs aux dispositions…"
L’Algérie dévoile son objectif de production de gaz naturel pour 2029,https://realites.com.tn/fr/lalgerie-devoile-son-objectif-de-production-de-gaz-naturel-pour-2029/,28-05-2024,"L’Algérie prévoit de porter sa production annuelle de gaz naturel à environ 200 milliards de mètres cubes d’ici cinq ans, selon une annonce faite par Mohamed Arkab, ministre de l’Énergie…"
Entreprises,https://realites.com.tn/fr/category/entreprises/,26-05-2024,"La résilience de l’économie américaine a entraîné un changement radical des prévisions de croissance. Au cours du premier semestre de l’année dernière, les perspectives pour 2024 reflétaient un pessimisme généralisé…"
Amnistie fiscale : Plus d’un million de déclarations traitées,https://realites.com.tn/fr/amnistie-fiscale-plus-dun-million-de-declarations-traitees/,24-05-2024,"Plus d’un million (1,05) de déclarations de revenus ont été traitées dans le cadre de l’amnistie fiscale, a révélé la ministre des Finances, Sihem Boughdiri, lors d’une audition devant la…"
Investissements en Tunisie : Hausse de 10% au cours des trois premiers mois de l’année,https://realites.com.tn/fr/investissements-en-tunisie-hausse-de-10-au-cours-des-trois-premiers-mois-de-lannee/,23-05-2024,"L’économie tunisienne affiche une tendance encourageante au premier trimestre de l’année 2024, avec une amélioration des investissements dans les projets et secteurs productifs. Les données du ministère des Finances révèlent…"
"Tunisie : Dans le TOP 10 des exportateurs d’énergie africain vers l’Italie, mais reste loin derrière les ténors !",https://realites.com.tn/fr/tunisie-dans-le-top-10-des-exportateurs-denergie-africain-vers-litalie-mais-reste-loin-derriere-les-tenors/,23-05-2024,"La Tunisie se positionne comme le 8ème pays africain exportateur d’énergie et de minerais vers l’Italie, avec des livraisons qui ont doublé entre 2021 et 2023 pour atteindre 400 millions…"
CTN : Inauguration d’une nouvelle ligne maritime entre la Tunisie et l’Italie,https://realites.com.tn/fr/ctn-inauguration-dune-nouvelle-ligne-maritime-entre-la-tunisie-et-litalie/,23-05-2024,"La Compagnie Tunisienne de Navigation (CTN) a inauguré, mardi 21 mai 2024, un nouveau service fret à destination du port de Salerne en Italie. Ce service, spécialement dédié au transport…"
Elmed: Le Parlement débloque des fonds pour l’interconnexion électrique Italie-Tunisie,https://realites.com.tn/fr/elmed-le-parlement-debloque-des-fonds-pour-linterconnexion-electrique-italie-tunisie/,22-05-2024,Il est question d’un grand pas en avant pour la concrétisation du projet d’interconnexion électrique entre la Tunisie et l’Italie. L’Assemblée des représentants du peuple (ARP) a donné son approbation…
Tunisie: Voici la vision 2040 pour l’aviation civile,https://realites.com.tn/fr/tunisie-voici-la-vision-2040-pour-laviation-civile/,21-05-2024,"La Tunisie trace les contours de son futur aérien, ancré dans les principes du développement durable et de la connectivité renforcée. C’est la vision dévoilée par Sarah Zaafrani Zenzri, ministre…"
Boom des abonnements mobiles en Tunisie : Le mobile domine et l’internet fixe progresse,https://realites.com.tn/fr/boom-des-abonnements-mobiles-en-tunisie-le-mobile-domine-et-linternet-fixe-progresse/,21-05-2024,"Le paysage national des télécommunications se métamorphose à vitesse grand V, porté par une vague déferlante de mobilactivité et une progression constante de l’internet fixe. En dix ans, le nombre…"
"Tunisie : Une récolte céréalière en hausse, mais encore loin des moyennes habituelles",https://realites.com.tn/fr/tunisie-une-recolte-cerealiere-en-hausse-mais-encore-loin-des-moyennes-habituelles/,21-05-2024,"Le représentant de la direction générale de la production agricole, Mohamed Ali Ben Romdhane, a annoncé lundi 20 mai que la récolte de céréales pour cette année devrait se situer…"
Coopération énergétique et minière : L’Algérie et la Tunisie se concertent à Sorrente,https://realites.com.tn/fr/cooperation-energetique-et-miniere-lalgerie-et-la-tunisie-se-concertent-a-sorrente/,20-05-2024,"En marge de la troisième édition du Forum international « Vers le Sud », qui se déroule actuellement à Sorrente en Italie, le ministre algérien de l’Énergie et des Mines, Mohamed Arkab,…"
La Tunisie remporte 26 médailles au grand concours mondial de la qualité de l’huile d’olive à New York,https://realites.com.tn/fr/la-tunisie-remporte-26-medailles-au-grand-concours-mondial-de-la-qualite-de-lhuile-dolive-a-new-york/,20-05-2024,Les entreprises opérant dans le secteur de l’huile d’olive conditionnée ont obtenu cette semaine 26 médailles (12 d’or et 14 d’argent) au Grand Concours Mondial de la Qualité de l’Huile…
Entreprises,https://realites.com.tn/fr/category/entreprises/,19-05-2024,Peu d’indicateurs fournissent autant d’informations sur les tendances macroéconomiques mondiales que la direction des fluctuations monétaires. Ceci est particulièrement vrai lorsqu’il s’agit de marchés des changes (FX) profonds et liquides…
Les investissements agricoles dans le secteur privé en chute libre,https://realites.com.tn/fr/les-investissements-agricoles-dans-le-secteur-prive-en-chute-libre/,18-05-2024,"La valeur totale des investissements agricoles dans le secteur privé a chuté à 59,776 millions de dinars fin mars 2024, enregistrant une baisse de 55 % par rapport à la…"
Environnement,https://realites.com.tn/fr/category/environnement/,18-05-2024,"La ministre de l’Industrie, des Mines et de l’Énergie,  Fatma Thabet Chiboub, a participé les 17 et 18 mai à la troisième édition du Forum international « Vers le sud », intitulé…"
Révision de l’article 411 du Code de Commerce : Le Président Saïed demande à accélérer les réformes,https://realites.com.tn/fr/revision-de-larticle-411-du-code-de-commerce-le-president-saied-demande-a-accelerer-les-reformes/,18-05-2024,"Le Président de la République, Kaïs Saïed, a présidé, dans l’après-midi du 17 mai 2024, une session de travail au Palais de Carthage cet après-midi, dédiée à l’examen de la…"
Le ministère des Finances mobilise 570 millions de dinars auprès des banques tunisiennes,https://realites.com.tn/fr/le-ministere-des-finances-mobilise-570-millions-de-dinars-aupres-des-banques-tunisiennes/,17-05-2024,La  ministère des Finances a annoncé aujourd’hui la conclusion d’un accord de prêt en devises d’un montant total de 570 millions de dinars (soit 156 millions d’euros) avec 16 institutions…
Tunisie: Plus de la moitié des industriels étouffent sous les difficultés,https://realites.com.tn/fr/tunisie-plus-de-la-moitie-des-industriels-etouffent-sous-les-difficultes/,17-05-2024,"Une légère éclaircie se dessine au-dessus de l’industrie tunisienne. Selon un rapport publié jeudi par l’Institut national de la statistique (INS), 3% des dirigeants d’entreprises industrielles interrogés affirment que le…"
La CONECT et l’ATUGE scellent un partenariat,https://realites.com.tn/fr/la-conect-et-latuge-scellent-un-partenariat/,17-05-2024,Le Syndicat Patronal CONECT – Confédération des Entreprises Citoyennes de Tunisie et l’ ATUGE (Association des Tunisiens des Grandes Ecoles) signent un partenariat en vue de bénéficier de la mise en…
Tunisie : L’État signe un accord de prêt en devise auprès de 16 institutions bancaires locales,https://realites.com.tn/fr/tunisie-letat-signe-un-accord-de-pret-en-devise-aupres-de-16-institutions-bancaires-locales/,17-05-2024,"La ministre des Finances, Sihem Boughdiri Nemsia a présidé, jeudi 16 mai, une cérémonie de signature d’un accord de prêt en devise auprès de 16 institutions bancaires locales au siège…"
Vers une stabilisation des réserves de change tunisiennes ?,https://realites.com.tn/fr/vers-une-stabilisation-des-reserves-de-change-tunisiennes/,16-05-2024,"Le stock de devises fortes de la Tunisie a connu une légère hausse pour atteindre 23,168 millions de dinars au 15 mai 2024, selon les données publiées par la Banque…"
Le chômage recule légèrement en Tunisie au premier trimestre,https://realites.com.tn/fr/le-chomage-recule-legerement-en-tunisie-au-premier-trimestre/,16-05-2024,"L’Institut national de la statistique (INS) vient de publier des chiffres encourageants : le taux de chômage est tombé à 16,2% au premier trimestre 2024, contre 16,4% au trimestre précédent…"
INS: L’économie tunisienne amorce un rebond timide au premier trimestre 2024,https://realites.com.tn/fr/ins-leconomie-tunisienne-amorce-un-rebond-timide-au-premier-trimestre-2024/,16-05-2024,"Bonne nouvelle : l’économie tunisienne témoigne d’un léger mieux ! D’après l’Institut national de la statistique (INS), elle s’est légèrement améliorée de 0,2% pendant les 3 premiers mois de l’année…"
Légère baisse des productions énergétiques tunisiennes,https://realites.com.tn/fr/legere-baisse-des-productions-energetiques-tunisiennes/,16-05-2024,"Comparativement avec le premier trimestre de l’année précédente (2023), une légère baisse de 3% a été enregistrée au niveau de la production nationale de pétrole brut. Durant le premier trimestre…"
Elmed : Feu vert pour le pont électrique Italie-Tunisie !,https://realites.com.tn/fr/elmed-feu-vert-pour-le-pont-electrique-italie-tunisie/,15-05-2024,"Le projet Elmed, la première interconnexion électrique directe entre les deux pays, a reçu l’autorisation tant attendue du ministère italien de l’Environnement et de la Sécurité énergétique. Ce « pont électrique »…"
Tunisie-Italie: Les secteurs des énergies renouvelables et de l’agroalimentaire au cœur des discussions d’un Forum,https://realites.com.tn/fr/tunisie-italie-les-secteurs-des-energies-renouvelables-et-de-lagroalimentaire-au-coeur-des-discussions-dun-forum/,15-05-2024,"Renforcer les échanges commerciaux, explorer de nouvelles opportunités d’investissement et consolider la collaboration dans des projets d’envergure : tels étaient les objectifs du Forum « Opportunités d’investissement en Tunisie », qui s’est…"
Tunisie-Koweït : Un partenariat stratégique pour redynamiser le tourisme?,https://realites.com.tn/fr/tunisie-koweit-un-partenariat-strategique-pour-redynamiser-le-tourisme/,15-05-2024,"Le ministre du Tourisme et de l’Artisanat, Mohamed Moez Belhassine, a reçu une délégation d’investisseurs koweïtiens représentant le groupe Al Maousherji. L’occasion pour le ministre de réaffirmer l’engagement du gouvernement…"
"BERD: Croissance modérée en 2024, mais un rebond attendu en 2025?",https://realites.com.tn/fr/berd-croissance-moderee-en-2024-mais-un-rebond-attendu-en-2025/,15-05-2024,"L’économie tunisienne devrait connaître une croissance modérée de 1,9% en 2024, selon les dernières prévisions de la Banque européenne pour la reconstruction et le développement (BERD) publiées dans ses perspectives…"
Non classé,https://realites.com.tn/fr/category/non-classe/,15-05-2024,"L’analyse de la note sur le « Commerce Extérieur aux prix courants, avril 2024 » émise mardi 14 mai 2024 par l’Institut National des Statistiques (INS) et publiée par l’agence…"
